elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps,depth_m,alt_asf_m,wall_utc_s,yaw_rate_rps,vel_north_mps,vel_east_mps,vel_down_mps,vel_age_s,waypoint_index,cross_track_error_m,distance_to_waypoint_m,distance_remaining_m,cumulative_distance_m,waypoints_remaining,exec_age_s
3.234556717,39.00004526,-76.5,-9.966595509e-13,3,0,60,1785408822.2724597,8.183178903e-13,3,-2.989978653e-12,0,6.1216e-05,0,-1.455063852e-11,95.12495978,955.9999986,4.875040209,8,5.8202e-05
3.285310489,39.00004661,-76.5,-9.678479295e-13,3,0,60,1785408822.3231521,5.753487049e-13,3,-2.903543788e-12,0,4.6356e-05,0,6.416531633e-11,94.97528372,953.9999986,5.024716268,8,3.9389e-05
3.33591803,39.00004796,-76.5,-9.848848864e-13,3,0,60,1785408822.3737779,-3.413906814e-13,3,-2.954654659e-12,0,6.8142e-05,0,2.125137765e-10,94.82505332,953.9999986,5.174946666,8,6.0096e-05
3.386546567,39.00004932,-76.5,-9.919324547e-13,3,0,60,1785408822.4244633,-1.406539814e-13,3,-2.975797364e-12,0,8.0179e-05,0,-8.046554935e-12,94.6753396,953.9999986,5.32466039,8,6.2788e-05
3.437202597,39.00005067,-76.5,-1.013928827e-12,3,0,60,1785408822.4750421,-4.395843721e-13,3,-3.04178648e-12,0,4.4762e-05,0,9.464430796e-11,94.52502245,953.9999986,5.474977536,8,3.8129e-05
3.48775783,39.00005202,-76.5,-1.019639907e-12,3,0,60,1785408822.5256016,-1.144634226e-13,3,-3.058919722e-12,0,4.6517e-05,0,-3.23844288e-11,94.37490538,953.9999986,5.625094603,8,3.9742e-05
3.538329588,39.00005337,-76.5,-1.004673607e-12,3,0,60,1785408822.5761595,2.982226196e-13,3,-3.01402082e-12,0,4.4662e-05,0,-5.684039596e-11,94.22522227,953.9999986,5.774777715,8,3.7706e-05
3.588953346,39.00005473,-76.5,-9.885566009e-13,3,0,60,1785408822.6268103,3.219339033e-13,3,-2.965669803e-12,0,4.9259e-05,0,1.758146638e-11,94.07466729,953.9999986,5.925332701,8,4.3028e-05
3.639548573,39.00005608,-76.5,-1.000402366e-12,3,0,60,1785408822.677386,-2.370908528e-13,3,-3.001207098e-12,0,4.3452e-05,0,1.412229827e-10,93.92447802,953.9999986,6.075521965,8,3.6737e-05
3.69013135,39.00005743,-76.5,-1.017419254e-12,3,0,60,1785408822.7279766,-3.40917688e-13,3,-3.052257763e-12,0,4.6123e-05,0,5.512270393e-11,93.77458909,953.9999986,6.225410901,8,3.9338e-05
3.740766346,39.00005877,-76.5,-1.03025443e-12,3,0,60,1785408822.7786198,-2.573667732e-13,3,-3.090763289e-12,0,5.1164e-05,0,1.738594818e-11,93.62484425,953.9999986,6.375155741,8,4.3311e-05
3.791342996,39.00006012,-76.5,-1.047418426e-12,3,0,60,1785408822.8291581,-3.432962786e-13,3,-3.142255278e-12,0,3.9752e-05,0,5.218558478e-11,93.47523081,953.9999986,6.524769174,8,3.4399e-05
3.841874174,39.00006148,-76.5,-1.099240232e-12,3,0,60,1785408822.8797092,-1.031405309e-12,3,-3.297720697e-12,0,4.3815e-05,0,1.819587728e-10,93.32523796,953.9999986,6.674762027,8,3.706e-05
3.892433471,39.00006283,-76.5,-1.140349318e-12,3,0,60,1785408822.9302721,-8.244017057e-13,3,-3.421047954e-12,0,4.4077e-05,0,5.803096441e-12,93.17450631,953.9999986,6.825493672,8,3.6596e-05
3.943005934,39.00006418,-76.5,-1.150804291e-12,3,0,60,1785408822.9808552,-2.086090128e-13,3,-3.452412874e-12,0,5.0912e-05,0,-8.430732637e-11,93.02491024,953.9999986,6.975089744,8,4.2675e-05
3.993591865,39.00006553,-76.5,-1.186979251e-12,3,0,60,1785408823.0314398,-7.259451588e-13,3,-3.560937754e-12,0,5.1494e-05,0,1.457092266e-10,92.87455758,951.9999986,7.125442408,8,4.4204e-05
