lat_deg,lon_deg,s_m,kappa_1pm,az_rad,leg_index
39.00225194,-76.49976912,437.0590631,0,3.141592653,3
39.00223392,-76.49976912,439.0590631,0,3.141592653,3
39.00221591,-76.49976912,441.0590631,0,3.141592653,3
39.00219789,-76.49976912,443.0590631,0,3.141592653,3
39.00217988,-76.49976912,445.0590631,0,3.141592653,3
39.00216186,-76.49976912,447.0590631,0,3.141592653,3
39.00214384,-76.49976912,449.0590631,0,3.141592653,3
39.00212583,-76.49976912,451.0590631,0,3.141592653,3
39.00210781,-76.49976912,453.0590631,0,3.141592653,3
39.0020898,-76.49976912,455.0590631,0,3.141592653,3
39.00207178,-76.49976912,457.0590631,0,3.141592653,3
39.00205377,-76.49976912,459.0590631,0,3.141592653,3
39.00203575,-76.49976912,461.0590631,0,3.141592653,3
39.00201774,-76.49976912,463.0590631,0,3.141592653,3
39.00199972,-76.49976912,465.0590631,0,3.141592653,3
39.00198171,-76.49976912,467.0590631,0,3.141592653,3
39.00196369,-76.49976912,469.0590631,0,3.141592653,3
39.00194567,-76.49976912,471.0590631,0,3.141592653,3
39.00192766,-76.49976912,473.0590631,0,3.141592653,3
39.00190964,-76.49976912,475.0590631,0,3.141592653,3
39.00189163,-76.49976912,477.0590631,0,3.141592653,3
39.00187361,-76.49976912,479.0590631,0,3.141592653,3
39.0018556,-76.49976912,481.0590631,0,3.141592653,3
39.00183758,-76.49976912,483.0590631,0,3.141592653,3
39.00181957,-76.49976912,485.0590631,0,3.141592653,3
39.00180155,-76.49976912,487.0590631,0,3.141592653,3
39.00178353,-76.49976912,489.0590631,0,3.141592653,3
39.00176552,-76.49976912,491.0590631,0,3.141592653,3
39.0017475,-76.49976912,493.0590631,0,3.141592653,3
39.00172949,-76.49976912,495.0590631,0,3.141592653,3
39.00171147,-76.49976912,497.0590631,0,3.141592653,3
39.00169346,-76.49976912,499.0590631,0,3.141592653,3
39.00167544,-76.49976912,501.0590631,0,3.141592653,3
39.00165743,-76.49976912,503.0590631,0,3.141592653,3
39.00163941,-76.49976912,505.0590631,0,3.141592653,3
39.0016214,-76.49976912,507.0590631,0,3.141592653,3
39.00160338,-76.49976912,509.0590631,0,3.141592653,3
39.00158536,-76.49976912,511.0590631,0,3.141592653,3
39.00156735,-76.49976912,513.0590631,0,3.141592653,3
39.00154933,-76.49976912,515.0590631,0,3.141592653,3
39.00153132,-76.49976912,517.0590631,0,3.141592653,3
39.0015133,-76.49976912,519.0590631,0,3.141592653,3
39.00149529,-76.49976912,521.0590631,0,3.141592653,3
39.00147727,-76.49976912,523.0590631,0,3.141592653,3
39.00145926,-76.49976912,525.0590631,0,3.141592653,3
39.00144124,-76.49976912,527.0590631,0,3.141592653,3
39.00142322,-76.49976912,529.0590631,0,3.141592653,3
39.00140521,-76.49976912,531.0590631,0,3.141592653,3
39.00138719,-76.49976912,533.0590631,0,3.141592653,3
39.00136918,-76.49976912,535.0590631,0,3.141592653,3
39.00135116,-76.49976912,537.0590631,0,3.141592653,3
39.00133315,-76.49976912,539.0590631,0,3.141592653,3
39.00131513,-76.49976912,541.0590631,0,3.141592653,3
39.00129712,-76.49976912,543.0590631,0,3.141592653,3
39.0012791,-76.49976912,545.0590631,0,3.141592653,3
39.00126109,-76.49976912,547.0590631,0,3.141592653,3
39.00124307,-76.49976912,549.0590631,0,3.141592653,3
39.00122505,-76.49976912,551.0590631,0,3.141592653,3
39.00120704,-76.49976912,553.0590631,0,3.141592653,3
39.00118902,-76.49976912,555.0590631,0,3.141592653,3
39.00117101,-76.49976912,557.0590631,0,3.141592653,3
39.00115299,-76.49976912,559.0590631,0,3.141592653,3
39.00113498,-76.49976912,561.0590631,0,3.141592653,3
39.00111696,-76.49976912,563.0590631,0,3.141592653,3
39.00109895,-76.49976912,565.0590631,0,3.141592653,3
39.00108093,-76.49976912,567.0590631,0,3.141592653,3
39.00106291,-76.49976912,569.0590631,0,3.141592653,3
39.0010449,-76.49976912,571.0590631,0,3.141592653,3
39.00102688,-76.49976912,573.0590631,0,3.141592654,3
39.00100887,-76.49976912,575.0590631,0,3.141592654,3
39.00099085,-76.49976912,577.0590631,0,3.141592654,3
39.00097284,-76.49976912,579.0590631,0,3.141592654,3
39.00095482,-76.49976912,581.0590631,0,3.141592654,3
39.00093681,-76.49976912,583.0590631,0,3.141592654,3
39.00091879,-76.49976912,585.0590631,0,3.141592654,3
39.00090077,-76.49976912,587.0590628,0,3.141592654,3
39.00090077,-76.49976912,587.0590628,-0.06981333333,3.141592654,4
39.00088282,-76.49977073,589.0590628,-0.06981333333,-3.001965987,4
39.00086521,-76.49977553,591.0590628,-0.06981333333,-2.86233932,4
39.0008483,-76.49978342,593.0590628,-0.06981333333,-2.722712654,4
39.0008324,-76.49979425,595.0590628,-0.06981333333,-2.583085987,4
39.00081784,-76.49980781,597.0590628,-0.06981333333,-2.44345932,4
39.00080448,-76.49982329,599.0590628,0.06981333333,-2.43850931,4
39.00078997,-76.49983695,601.0590628,0.06981333333,-2.578135977,4
39.00077412,-76.49984788,603.0590628,0.06981333333,-2.717762644,4
39.00075724,-76.49985587,605.0590628,0.06981333333,-2.85738931,4
39.00073965,-76.49986078,607.0590628,0.06981333333,-2.997015977,4
39.0007217,-76.49986251,609.0590628,0.06981333333,-3.136642644,4
39.00070373,-76.49986101,611.0590628,0.06981333333,3.006915997,4
39.00068611,-76.49985633,613.0590628,0.06981333333,2.86728933,4
39.00066916,-76.49984854,615.0590628,0.06981333333,2.727662664,4
39.00065323,-76.49983781,617.0590628,0.06981333333,2.588035997,4
39.00063861,-76.49982435,619.0590628,0.06981333333,2.44840933,4
39.0006256,-76.4998084,621.0590628,0.06981333333,2.308782664,4
39.00061445,-76.4997903,623.0590628,0.06981333333,2.169155997,4
39.00060537,-76.49977037,625.0590628,0.06981333333,2.02952933,4
39.00059854,-76.49974903,627.0590628,0.06981333333,1.889902664,4
39.0005941,-76.49972667,629.0590628,0.06981333333,1.750275997,4
39.00059213,-76.49970374,631.0590628,0.06981333333,1.61064933,4
39.00059267,-76.49968068,633.0590628,0.06981333333,1.471022664,4
39.00059571,-76.49965795,635.0590628,0.06981333333,1.331395997,4
39.00060119,-76.49963597,637.0590628,0.06981333333,1.19176933,4
39.000609,-76.49961519,639.0590628,0.06981333333,1.052142664,4
39.00061899,-76.499596,641.0590628,0.06981333333,0.912515997,4
39.00063097,-76.49957878,643.0590628,0.06981333333,0.7728893303,4
39.0006447,-76.49956386,645.0590628,0.06981333333,0.6332626636,4
39.00065992,-76.49955154,647.0590628,0.06981333333,0.493635997,4
39.00067633,-76.49954205,649.0590628,0.06981333333,0.3540093303,4
39.00069361,-76.49953558,651.0590628,0.06981333333,0.2143826636,4
39.00071142,-76.49953226,653.0590628,0.06981333333,0.07475599695,4
39.00072942,-76.49953215,655.0590628,0.06981333333,-0.06487066972,4
39.00074726,-76.49953524,657.0590628,-0.06981333333,-0.1909500775,4
39.00076513,-76.49953802,659.0590628,-0.06981333333,-0.05132341084,4
39.00078314,-76.49953824,661.0590628,0,4.440892099e-16,4
39.00080116,-76.49953824,663.0590628,0,4.440892099e-16,4
39.00081917,-76.49953824,665.0590628,0,4.440892099e-16,4
39.00083719,-76.49953824,667.0590628,0,4.440892099e-16,4
39.0008552,-76.49953824,669.0590628,0,4.440892099e-16,4
39.00087322,-76.49953824,671.0590628,0,4.440892099e-16,4
39.00089123,-76.49953824,673.0590628,0,4.440892099e-16,4
39.00090077,-76.49953824,674.1181261,0,4.440892099e-16,4
39.00090077,-76.49953824,674.1181261,0.06981333333,0,5
39.00091879,-76.49953824,676.1181261,0,-2.053512915e-10,5
39.00093681,-76.49953824,678.1181261,0,-2.053512915e-10,5
39.00095482,-76.49953824,680.1181261,0,-2.053512915e-10,5
39.00097284,-76.49953824,682.1181261,0,-2.053512915e-10,5
39.00099085,-76.49953824,684.1181261,0,-2.053512915e-10,5
39.00100887,-76.49953824,686.1181261,0,-2.053512915e-10,5
39.00102688,-76.49953824,688.1181261,0,-2.053512915e-10,5
39.0010449,-76.49953824,690.1181261,0,-2.053512915e-10,5
39.00106291,-76.49953824,692.1181261,0,-2.053512915e-10,5
39.00108093,-76.49953824,694.1181261,0,-2.053512915e-10,5
